title,snippet,filing_date,grant_date,inventor,assignee,patent_id,pdf
System and method for authorizing access to access-controlled environments,"Systems and methods are provided for authorizing a user to access an access-controlled environment. The system includes a system server platform that communicates with fixed PC's, servers and mobile devices (e.g., smartphones) operated by users. The systems and 5 methods described herein enable a …",2020-03-03,2021-07-01,Jason Braverman,Veridium Ip Limited,patent/AU2020201558B2/en,https://patentimages.storage.googleapis.com/46/cc/bd/bab9cef91c58f1/AU2020201558B2.pdf
System and method for authorizing access to access-controlled environments,"What is claimed: 1. A method for securely authenticating a user operating a user computing device, the user computing device executing a biometric authentication application for confirming the user's identity as a function of a biometric feature of the user, the method comprising the steps of:",2020-05-14,2021-12-28,Hector Hoyos,Veridium Ip Limited,patent/US11210380B2/en,https://patentimages.storage.googleapis.com/a4/7f/65/372bf5c91e3ac0/US11210380.pdf
System and method for authorizing access to access-controlled environments,"What is claimed: 1. A method for securely coordinating access to an access-controlled environment (ACE) for a user operating a user computing device executing a biometric authentication application for confirming the user's identity as a function of a biometric of the user, the method comprising:",2018-05-16,2020-06-09,Hector Hoyos,Veridium Ip Limited,patent/US10678898B2/en,https://patentimages.storage.googleapis.com/ef/a2/16/62931ca46038e5/US10678898.pdf
Facial recognition systems for enhanced security in vehicles and other devices,"Security systems for secured assets such as vehicles, are described in which facial recognition systems or other biometrics systems provide enhanced security for an authorized user. Subtle or covert cues provided by the user during authentication or subsequent monitoring of the user by the facial …",2020-01-28,,Jeffrey Dean Lindsay,Jeffrey Dean Lindsay,patent/US20200238952A1/en,https://patentimages.storage.googleapis.com/90/4b/8e/7cea4e91ca6d1e/US20200238952A1.pdf
Syndicating ultrasound echo data in a healthcare environment,"Disclosed herein are systems and methods for syndication and management of structured and unstructured data to assist institutional healthcare delivery, healthcare providers' practices, healthcare providers' group practices, collaborative academic research and decision making in healthcare, …",2006-12-22,2014-07-01,James F. Moore,"Newsilike Media Group, Inc.",patent/US8768731B2/en,https://patentimages.storage.googleapis.com/e9/9a/f2/3c9258ca3c7608/US8768731.pdf
System and method for facilitating user access to vehicles based on biometric …,"Systems and methods are provided for granting access-controlled environment access to a user. The system includes a system server platform that communicates with on-board vehicle computing devices and mobile devices (eg, smartphones) accessed by users. Embodiments enable a series of actions to …",2015-06-11,2022-09-14,헥터 호요스,베라디움 아이피 리미티드,patent/KR102443186B1/en,https://patentimages.storage.googleapis.com/d4/61/c1/37486bec6772b3/KR102443186B1.pdf
On-board backup and anti-spoofing GPS system,Disclosed is an on-board backup and anti-spoofing GPS (“OBASG”) system for navigating a vehicle through an environment with a GPS receiver. The GPS receiver is configured to receive GPS signals within the environment where the GPS signals may suffer a GPS outage or are unreliable within the …,2016-06-08,2020-07-07,Christopher W. Raab,The Boeing Company,patent/US10705221B2/en,https://patentimages.storage.googleapis.com/82/97/9c/a831789d1b5e8b/US10705221.pdf
Facial recognition,"An example method includes initiating an emission, by a computing device, of at least one light beam, receiving, from an image capture device of the computing device, an image of a face of a user, and identifying at least one representation of an eye of the user in the image. The method further …",2012-06-26,2013-04-02,Yong Zhao,Google Inc.,patent/US8411909B1/en,https://patentimages.storage.googleapis.com/6a/80/0f/53af6b04729a4f/US8411909.pdf
Facial recognition,"An example method includes receiving a first image and a second image of a face of a user, where one or both images have been granted a match by facial recognition. The method further includes detecting a liveness gesture based on at least one of a yaw angle of the second image relative to the …",2013-09-23,2014-08-05,Michael Christian Nechyba,Google Inc.,patent/US8798336B2/en,https://patentimages.storage.googleapis.com/53/11/6d/20697efbe12422/US8798336.pdf
Facial recognition,": A method comprising: prompting a user to perform a predetermined facial gesture; receiving (1501, 1502), from an image capture device coupled to a computing device, a first image of a face of a user, and a second image of the face of the user; identifying (1504) at least one facial landmark in …",2013-06-25,2019-08-07,Michael Sipe,Google LLC,patent/EP2680192B1/en,https://patentimages.storage.googleapis.com/6c/24/47/06b52e64c12882/EP2680192B1.pdf
